id,lat,lng
0,42.34923088,-71.07188688
1,42.34839067,-71.12111433
2,42.37917083,-71.10028967
3,42.34483367,-71.08614944
4,42.311819,-71.035705
5,42.36764643,-71.06797143
6,42.370638,-71.11864978
7,42.335461,-71.10798714
8,42.356845,-71.1371172
9,42.35616508,-71.05675677
10,42.32575333,-71.058019
11,42.3505332,-71.0451064
12,42.33541548,-71.07750208
13,42.36349671,-71.09545657
14,42.34593071,-71.10133014
,,
zone 0,"4, 10, 12",
zone 1,"3, 1, 14, 7",
zone 2,"0, 5, 9, 11",
zone 3,"2, 6, 8, 13",
,,
zone 0,"4, 10",
zone 1,"12, 7",
zone 2,"3, 14",
zone 3,"1, 8",
zone 4,"6, 2",
zone 5,"13, 5",
zone 6,"0, 9, 11",
